Afghanistan	KANDAHAR AIRPORT;21.4	KANDAHAR AIRPORT;28.4	Mazar-I-Sharif;14.3	KABUL AIRPORT;271.02	Mazar-I-Sharif;13.2	Mazar-I-Sharif;87.0	KABUL AIRPORT;30.0	KABUL AIRPORT;35.0	KUNDUZ;39.0	KUNDUZ;1.0	KABUL AIRPORT;5.0
Ecuador	Guayaquil / Simon Bolivar;26.9	Guayaquil / Simon Bolivar;32.1	San Cristobal Galapagos;24.0	Guayaquil / Simon Bolivar;3385.35	San Cristobal Galapagos;20.8	Quito / Mariscal Sucre;233.0	Quito / Mariscal Sucre;8.0	Quito / Mariscal Sucre;79.0	Quito / Mariscal Sucre;315.0	Latacunga;2.0	ASCAZUBI;8.0
Egypt	Asswan;29.1	Asswan;36.6	MARSA ALAM INTL;23.8	Mersa Matruh;401.85	JIYANKLIS NEW;27.2	Alexandria / Nouzha;71.0	Cairo Airport;4.0	Alexandria / Nouzha;15.0	Alexandria / Nouzha;38.0	Alexandria / Nouzha;2.0	Alexandria / Nouzha;3.0
El Salvador	San Miguel / El Papalon;29.7	San Miguel / El Papalon;35.7	Acajutla;24.8	San Salvador / Ilopango;1770.09	San Salvador / Ilopango;14.6	El Salvador Intl. Airport / Comalapa;135.0	Acajutla;1.0	San Salvador / Ilopango;113.0	San Salvador / Ilopango;50.0	San Salvador / Ilopango;1.0	San Salvador / Ilopango;7.0
Equatorial Guinea	BATA (RIO MUNI);27.0	Malabo/Fernando Poo;30.3	BATA (RIO MUNI);24.3	EMPTY;0.0	Malabo/Fernando Poo;10.3	Malabo/Fernando Poo;166.0	Malabo/Fernando Poo;1.0	Malabo/Fernando Poo;262.0	EMPTY;0.0	EMPTY;0.0	EMPTY;0.0
Estonia	Tartu-Ulenurme;7.7	Tartu-Ulenurme;12.3	Tartu-Ulenurme;3.3	Tartu-Ulenurme;1392.09	Tartu-Ulenurme;16.8	Tartu-Ulenurme;226.0	Tartu-Ulenurme;120.0	Tartu-Ulenurme;26.0	Tartu-Ulenurme;94.0	Tartu-Ulenurme;2.0	Tartu-Ulenurme;6.0
Ethiopia	Addis Ababa;17.2	Asmara;24.1	Addis Ababa;11.8	Asmara;20.07	Asmara;16.1	Addis Ababa;115.0	Addis Ababa;2.0	Addis Ababa;55.0	Addis Ababa;14.0	EMPTY;0.0	EMPTY;0.0
Falkland Islands	Stanley Airport;7.0	Stanley Airport;9.6	Stanley Airport;4.8	EMPTY;0.0	Stanley Airport;27.1	Stanley Airport;257.0	Stanley Airport;37.0	EMPTY;0.0	Stanley Airport;15.0	EMPTY;0.0	Stanley Airport;20.0
Fiji	Rotuma;27.6	UDU POINT AWS;32.0	Rotuma;25.7	Rotuma;4226.08	YASAWA-I-RARA AWS;23.8	Nausori;277.0	Nausori;2.0	Nandi;96.0	Nausori;20.0	Rotuma;1.0	NABOUWALU;4.0
Finland	UTO;8.4	Mariehamn / Aland Island;11.1	BOGSKAR;7.1	NIINISALO;1031.04	NYHAMN;32.3	Helsinki-Vantaa;248.0	KILPISJARVI;211.0	ILOMANTSI;27.0	Rovaniemi;166.0	NIVALA;2.0	Sodankyla;9.0
Former Yugoslav Republic of Macedonia	Skopje-Petrovec;14.2	Skopje-Petrovec;21.3	Skopje-Petrovec;7.8	Skopje-Petrovec;741.97	Ohrid;9.2	Ohrid;150.0	Skopje-Petrovec;37.0	Skopje-Petrovec;54.0	Skopje-Petrovec;41.0	Skopje-Petrovec;2.0	Skopje-Petrovec;8.0
France	Hihifo Ile Wallis;27.6	Hihifo Ile Wallis;30.9	ENVIRONM BUOY 41100;26.0	Hihifo Ile Wallis;4024.12	MONT AIGOUAL;39.1	Dinard;278.0	PIC DU MIDI;116.0	Ajaccio;65.0	ETAIN;289.0	CAP CORSE;2.0	Brest;24.0
French Guiana	Cayenne / Rochambeau;27.0	Cayenne / Rochambeau;31.8	Cayenne / Rochambeau;23.5	Cayenne / Rochambeau;4172.9	Cayenne / Rochambeau;11.9	Cayenne / Rochambeau;257.0	Cayenne / Rochambeau;3.0	Cayenne / Rochambeau;62.0	Cayenne / Rochambeau;67.0	Cayenne / Rochambeau;1.0	Cayenne / Rochambeau;3.0
